,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text_without_stopwords
34,35,B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,1175212800,Great Irish oatmeal for those in a hurry!,instant oatmeal become soggy the minute the water hits the bowl mccann 's instant oatmeal holds its texture excellent flavor is good for you all at the same mccann 's regular oat meal is excellent too but may a bit to prepare than most for in the morning this is the best instant brand i 've ever eaten a very close second to the non-instant variety. mccann 's instant irish oatmeal variety pack of regular apples & cinnamon maple & brown sugar 10-count boxes ( pack of 6 )
35,36,B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,1210464000,satisfying,mccann 's instant irish oatmeal variety pack of regular apples & cinnamon maple & brown sugar 10-count boxes ( pack of 6 ) i 'm a fan of the mccann 's steel-cut oats so i thought i 'd give the instant variety a try i found it to be a hardy meal not too sweet great for folks like me ( post-bariatric surgery ) need food that is palatable easily digestible with fiber but wo n't you bloat
36,37,B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,1190851200,Love Gluten Free Oatmeal!!!,for those of with celiac disease this product is a lifesaver what could be better than getting it at almost half the price of the grocery or health food store ! i love mccann 's instant oatmeal - all flavors ! ! ! thanks abby
37,38,B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,1238457600,it's oatmeal,what else do you need to know ? oatmeal instant ( it with a half cup of low-fat milk add raisins ; nuke for 90 seconds ) more expensive than kroger store brand oatmeal maybe a little tastier or better texture or something it 's still just oatmeal mmm convenient !
38,39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....,i was visiting friend nate the other morning for coffee he came out of his storage room with ( a packet of mccanns instant irish oatmeal ) he suggested that i try it for own use in stash sometimes nate dose not give you a chance to say no so i ended up trying the apple cinn found it to be very tastefull when made with water or powdered milk it goes good with o.j coffee a slice of toast your ready to on the world ... or the day at least .. jerry reith ...
39,40,B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,1317168000,Wife's favorite Breakfast,i ordered this for wife as it was reccomended by our daughter she this almost every morning likes all flavors she 's happy i 'm happy ! ! ! a href= http : //www.amazon.com/gp/product/b001eo5qw8 mccann 's instant irish oatmeal variety pack of regular apples & cinnamon maple & brown sugar 10-count boxes ( pack of 6 ) /a
40,41,B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,1303430400,Why wouldn't you buy oatmeal from Mcanns? Tastes great!,the variety packs taste great ! i every morning at $ 0.30 cents per meal i do n't understand why everyone on earth is n't buying this stuff up. maple brown sugar is terrific followed by apples cinnamon followed by regular you do n't get tired of the same ole thing they taste great. i just boil water from a small pot empty the packet or 2 in a bowl pour in boiling water watch it expand to 2x its size ! taste really good takes minutes to prepare. not sure why everyone on earth is n't this convenient healthy very quick excellent quality extremely cheap ...
41,42,B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,1302134400,Oatmeal For Oatmeal Lovers,mccann 's makes oatmeal for every oatmeal connoisseur whether one likes it from the pellet state that cooks for half an hour to the sloth addled instant which be done in the microwave for under three minutes it 's all good that 's for sure the beauty of the instant variety is that it is available in different flavors as well as regular. this variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between mccann 's other well-known oatmeals what i personally like about mccann 's is that it cooks up thicker with more body than the top brand in america the apples & cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add in 1300watt microwave the oatmeal cooks up in about one minute twenty-seven seconds so you should also watch that to get a handle on how much water to use. the only bad thing -- if you consider it a bad thing -- about this offering is that you to buy in lot so you 'll end up with six ten-count boxes this is good if you a family of oatmeal-eaters but if you 're a single person alone -- well love oatmeal
42,43,B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,1287014400,Food-Great,i mccann 's oatmeal every morning by ordering it from amazon i able to save almost $ 3.00 per box. it is a great product tastes great very healthy
43,44,B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,1255392000,Good Hot Breakfast,mccann 's oatmeal is a good quality choice our favorite is the apples cinnamon but we find that none of overly sugary for a good hot breakfast in 2 minutes this is excellent
44,45,B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,1209686400,Great taste and convenience,we really like the mccann 's steel cut oats but find we do n't cook it up too often. this tastes much better to me than the grocery store brands is just as convenient. anything that keeps me eating oatmeal regularly is a good thing
45,46,B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,1205193600,Hearty Oatmeal,this seems a little more wholesome than some of the supermarket brands but it is somewhat mushy does n't quite as much flavor either it did n't pass muster with kids so i probably wo n't buy it again
46,47,B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,1192752000,good,good oatmeal i like the apple cinnamon the best though i would n't follow the directions on the package it always comes out too soupy for taste that could just be me i like oatmeal really thick to add some milk on top of
47,48,B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1200096000,Mushy,the flavors good however i do not see any differce between this oaker oats brand - they mushy
48,49,B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,1191715200,Very good but next time I won't order the Variety Pack,i really like the maple brown sugar flavor the regular is fine with brown sugar added the apples cinnamon flavor is ok this is a very quick easy satisfying breakfast i 'll order this brand again but not the variety i 'll get all maple brown sugar
49,50,B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,1334016000,Same stuff,this is the same stuff you buy at the big box stores there is nothing healthy about it it is just carbs sugars save your money get something that at least some taste
50,51,B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,1203379200,Don't like it,this oatmeal is not good its mushy soft i do n't like it quaker oats is the way to
51,52,B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,1243900800,HOT!  And good!  Came back for more  :),got a free package of with a bottle of bloody mary mix i bought from the seller the advertising worked .. lol i shared with 2 buddies we all loved ... so im to buy more noticed there were no reviews ... well now there is they hot but not burn your mouth forever hot its a nice temp ... perfect for ..
52,53,B000G6RPMY,A9L6L5H9BPEBO,Edwin C. Pauzer,1,1,4,1348876800,You'll go nuts over Ass-Kickin' Peanuts.,this was n't in stock the last i looked i had to to the vermont country store in weston to find it with a jaw harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newton 's cradle art in motion the staple vermont maple syrup. back to the ass kickin peanuts they hot they will activate the perspiration glands behind your ears under your arms it requires a beverage as advertised a glass of very cold milk a box of kleenex it will your nose run they look like ordinary peanuts which is already giving me ideas for work i suspect that some people hitting goodies in absence especially colleague greg i 'm going to this to work at earliest opportunity empty the contents of this into an ordinary planters peanuts then see whose crying or whose nose is running when i return. the should be shaken to ensure the spices evenly distributed it is important to wash your hands after consumption not touch the eyes. you 'll nuts over ass-kickin ' peanuts. p.s i 'm not sharing the peanuts not deliberately i 'll probably give greg the jaw harp for christmas he 'll be so insulted
53,54,B000G6RPMY,AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",0,0,3,1278028800,not ass kickin,we 're used to spicy foods down in south texas not at all spicy doubt very much habanero is used at all could it up a notch or two
54,55,B002GWHC0G,A1ND7WC5LXOU48,"David Belton ""Proteus 1""",2,2,4,1322438400,Roasts up a smooth brew,i roast at home with a stove-top popcorn popper ( but i do it outside of course ) beans ( coffee bean direct green mexican altura ) seem to be well-suited for this method the first second cracks distinct i 've roasted the beans from medium to slightly dark with great results every the aroma is strong persistent the taste is smooth velvety lively
55,56,B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,0,0,5,1349395200,Our guests love it!,we roast in a large cast iron pan on the grill ( about 1/3 of the bag at a ) the smell is wonderful the roasted beans taste delicious too more importantly the coffee is smooth ; no bitter aftertaste on numerous occasions we 've had to send the roasted beans home with friends because they like it so much
56,57,B004N5KULM,A202WR509428VF,amateur amazon shopper,2,2,5,1322438400,Awesome Deal!,deal was awesome ! arrived before as indicated was enough to satisfy trick or treaters i love the quality of this product it was much less expensive than the local store 's
57,58,B004N5KULM,ASCNNAJU6SXF8,S. Beck,1,1,5,1336176000,How can you go wrong!,it is chocolate what i say great variety of everything our family loves with a family of six it goes fast perfect variety kit kat reeses five more
58,59,B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",0,0,5,1320364800,Awsome - Kids in neighborhood loved us!,great product nice combination of chocolates perfect size ! the bags had plenty they were shipped promptly the kids in the neighborhood liked our !
59,60,B004N5KULM,A2QOGOXPOVKAJG,mimimc,0,0,5,1320105600,great deal.,is over but i sent a bag to daughters class for her share the chocolate was fresh enjoyed by
60,61,B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",2,4,3,1318723200,Better price for this at Target,watch your prices with this while the assortment was good i did get this on a box purchase the price for this was $ 3-4 less at target
61,62,B004N5KULM,A7ZK2A3VIW7X9,Peggy,0,2,5,1319414400,pretty expensive,this bag of online is pretty expensive it should be cheaper in order to compete with grocery stores other than that its a good combination of favorite
62,63,B001EO5TPM,A1E09XGZUR78C6,gary sturrock,2,2,1,1215302400,stale product.,arrived in 6 days were so stale i could not any of the 6 bags ! !
63,64,B005DUM9UQ,A3HR0ZZOFKQ97N,RLC,3,3,5,1333497600,Hammer Nutrition 's Fizz Rocks!,i used the endurolyte product for years in pill powder form long desert rides on the dirt bike always found camelbak water heavily laced with the endurolyte powder not overly tasty but quite effective as i never got a cramp on hundred mile rides same for desert racing in the buggy the camelbaks were always laced with the powder now we the fizz ... what a great product ! firstly its hammer 's endurolyte product so it 's great endurance athlete 's the world over use their products second its convenient handly tablets that dissovle in a fizz third it tastes great ! imagine getting a nice cool drink when your body is starving for hydration electrolytes rather than getting a salty taste you get a refreshing lemon-lime or mango ! the camelbaks always get the fizz now i also drop a tablet in bottled water whenever i exercise a nice flavored water chock of electrolytes i not recommend this product or any hammer product highly enough
64,65,B005DUM9UQ,A2XIHNXODNZGV4,"ChemProf ""chem professor""",1,1,5,1333584000,great source of electrolytes,this product serves me well as a of electrolytes during after a long run or bike ride. i all of the flavors but really do like the grapefruit flavor ... no after-taste i actually like the slight carbonation. i use other hammer products really like their product line
65,66,B005DUM9UQ,A3TWF9DQ6MU87E,dhy4b,1,1,5,1331510400,Great for preventing cramps,this stuff really works for preventing cramping during the middle to latter stages of your rides pop 1 into each water bottle you 're set flavor is fine goes down easy
66,67,B005DUM9UQ,AEFIZIJ1FK1BK,Doug,0,0,5,1345161600,Low Carb Alternative to Gatorade,for those of on a low carb diet little tablets just the thing. two years ago i started cycling again after years but was heart arrhythmia after rides in high heat i was drinking plain water but did a little research thought electrolytes might be the issue gatorade was n't an option because it is so with carbohydrates so i looked around for a low-carb alternative the zero carb sports drinks did n't help so what to do ? one day i ran across at bike so a tube of ..... voila ! ... problem solved ! ! i 've shared with two friends in particular whose problems with leg cramps were resolved while using got it right -- they superbly formulated work .....
67,68,B005DUM9UQ,A8OFFIAL6XTOH,Bill Shirer,0,1,2,1338422400,Taste is not so good.,i purchased the mango flavor to me it does n't like mango at all there is no hint of sweetness unfortunately there is a hint or aftertaste almost like licorice i 've consuming sports nutrition products for decades so i 'm familiar to like the taste of the most of the products i 've the mango flavor is one of the least appealing i 've tasted it 's not terrible but it 's bad enough that i notice the bad taste every sip i
68,69,B000E7VI7S,A1KL2LAW08X6UQ,calmnsense,0,0,3,1169251200,How much would you pay for a bag of chocolate pretzels?,if you 're impulsive like me then $ 6 is ok. do n't get me wrong the quality of babies is very good i no complaints but in retrospect the price is a little ridiculous ( esp when you add on the )
69,70,B000E7VI7S,AWCBF2ZWIN57F,C. Salcido,0,2,5,1185753600,pretzel haven!,this was sooooo deliscious but too bad i ate em too fast gained 2 pds ! fault
70,71,B001GVISJC,A27TKQHFW0FB5N,Chet,2,2,5,1254355200,Great Gummi!,albanese gummi bears rings so on very good tasty high quality the bears even little at local store this type of gummi stuff ( bears rings snakes balls worms whatever ) about $ 10/lb twin packs of 4.5 or 5 pound bags is a screaming deal as far as i 'm concerned i 'm probably 50 pounds deep in friggin ' things consumed !
71,72,B001GVISJC,A3BDOAPSF96WGQ,2tall,1,1,5,1289260800,Bigger then other brands,grape gummy bears hard to find in area in fact pretty much anyone i talk to about grape gummy bears they think i 'm lying so i bought 10lbs ... : ) bears a little bit bigger then the other brands kind of sour kick but nothing to strong i love grape flavored candy/soda pretty good there is another company that makes grape gummy bears that a little bit better in opinion but well it for the price i like to use the gummy bears in home made popsicles with flavored sports drink the in the sports drink makes for softer popsicles the gummy bears awesome frozen they delicious !
72,73,B006SQBRMA,ATYMT48R62ENE,Marie,0,0,5,1327017600,Best ever latice tart,i ordered two of two of raspberry latice tarts directly from fantasicakes website for a dinner party i was hosting it arrived fresh intact very good size i froze half for later use i a pastry lover were the best i 've ever tasted the pastry was soft the jam was really good the taste was great they were in no guests were really impressed
73,74,B0059WXJKM,A25VFHVGI4CFTP,Diana Robinson,0,1,1,1335744000,Warning!  WARNING!  -ALCOHOL SUGARS!,buyer beware please ! this sweetener is not for everybody maltitol is an alcohol sugar be undigestible in the body you will know a short after consuming it if you one of the unsuspecting not digest it by the extreme intestinal bloating cramping massive amounts of gas a person experience nausea diarrhea & headaches also be experienced i learned lesson the hard way years ago when i fell in love with the sugar-free chocolates suzanne sommers used to sell i thought i 'd found sugar-free chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in the discomfort was unlike anything i had ever felt before i blew up like a balloon had very painful abdominal cramping as the symptoms passed this too was very unpleasant though hard for me to believe a low calorie sweetener could be the culprit all symptoms were when i stopped eating the chocolate hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when i purchased some delicious sugar-free popcorn at local market the taste was amazing while i was looking at the label wondering what could possibly this yummy new sugarfree treat taste so good heart sank when i followed the little asterisk next to sugarfree sweetener * down to the very bottom of the label read maltitol in tiny little letters ! thank goodness i 'd eaten only a little i still ended up with all the same side-effects but for a much shorter duration some people use maltitol to their heart 's content but others like me a bad reaction to it in case you 're like me ... it 's not you ... it 's the maltitol !
74,75,B001EPPI84,A3Q0IDQ03S0158,Jen,0,0,2,1287705600,nothing special,it is okay i would not out of way to buy it again
75,76,B001EPPI84,A27TZ4WBU7N0YF,I. So,0,0,1,1275004800,No Tea Flavor,no tea flavor at all just brunch of artifial flavors it is not returnable i wasted 20+ bucks
76,77,B004X2KR36,A2W3ABLWMJ84NS,Jessica Snyder,0,0,5,1348444800,Good,looked like a perfect snack to in with trail mix unfortunately they arrived in a solid mass of melted chocolate i left in pantry for a few days when i opened at room temperature they were still gooey i in the fridge i 've breaking off hunks ever they taste good to me but the chocolate is all grainy after melting then solidifying again i wo n't order online again but if i see in a store i would pick up
77,78,B004X2KR36,A26M5O53PHZTKN,"Debs ""peanut""",0,0,5,1348185600,Taste great,taste really good i purchasing a different brand very similar in taste texture i agree with the other reviewer regarding ordering in the summer there is no insulating packaging with ice packs so they will melt in warm weather like all chocolate food items order in cold weather buy enough to last ! ! !
78,79,B004X2KR36,A2AB7M9UCNBVN7,sharonh4,0,0,3,1346976000,Order only in cold weather,the taste was great but the berries had melted may order again in winter if you order in cold weather you should enjoy flavor
79,80,B005R8JE8O,A3H1EQD2PBC085,jmc,0,0,5,1344902400,this is the best,i know i not tea this good granted i not from the south but i know i never enjoyed tea that was this sweet without being too sweet it tastes crisp
80,81,B0066DMI6Y,AB30HQTI5VOLR,Melinda Bishop,1,1,5,1325116800,Delicious!,this peppermint stick is delicious fun to dad got me one for christmas because he remembered me a similar one when i was a little girl i 'm 30 now i love it !
81,82,B0066DMI6Y,AZLONLC8OZPEC,John W. Hollis,1,1,4,1324598400,Great,great for all ages ! i purchased giant canes before the recipients loved so much they kept would not
82,83,B003ZFRKGO,A2VOZX7YBT0D6D,"Johnnycakes ""Johnnycakes""",15,15,5,1325635200,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,i know the product title says molecular gastronomy but do n't let that scare you off i looking for this for a while now not for food science but for something more down to earth i use it to own coffee creamer. i to coffee blonde sweet - but the flavored creamers of the bad kinds of fat honestly i hate to use manufactured food items i really do n't think they good for the body on the other hand i hate using cold milk or cream because i like hot coffee. i stumbled across this on amazon one day got the idea of own creamer i also bought low-fat ( non-instant ) milk powder regular milk powder the non-instant lowfat milk is a little sweeter tastes fresher than regular instant low-fat milk but does not dissolve good in cold water - which is not a problem for hot coffee you will to play with the ratios - i would not do just the heavy cream it made the coffee too rich also i think the powder is too expensive to just use on it 's own i like mixing 1/3 of each together. for flavoring i bough cocoa bean powder vanilla bean powder caster ( superfine ) sugar i mix up small batches with spices like cinnamon nutmeg to own flavored creamers if you wanted you could use a fake sweetner powder instead i up small amounts that i store in jelly canning jars i also use little food chopper/food processor to blend everything so the sugar is not heavier sinks to the bottom let it settle for a bit before opening the top though. this stuff tastes way better than the storebought creamers it is fun to experiment up with your own flavors i going to try using some essential oils next see if i get a good chocolate/orange mix. all of the ingredients i mentioned online the to experiment maybe you do n't use any low-fat milk or do n't add any flavorings it is up to you also would great housewarming/host ( ess ) gifts. i sure other molecular people will be able to tell you more of what you do with it i sure i will experiment with it in cooking - but the main reason i bought it was to own creamer it worked out great
83,84,B0019CW0HE,A1FD9E5C06UB6B,BRENDA DEMERS,5,5,3,1301011200,Natural Balance Lamb and Rice,while like all of the flavors that we of this dog food for some reason their itching increased when i the lamb i some very itchy giving a limited ingredient dog food to try to help the duck sweet potato cut down on the itching significantly but when we lamb they started itching more once again i like natural balance for the quality ingredients
